Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
30/10/2018 07:52:00 a.m.;FAC;A001306956926;0,01;0,00;0,00;0,00;0,00;0,00;0,01
30/10/2018 09:07:00 a.m.;FAC;A001306957052;0,00;469,56;98,61;0,00;0,00;0,00;568,17
30/10/2018 10:23:00 a.m.;FAC;A001306957319;0,00;1.414,86;297,12;0,00;0,00;0,00;1.711,98
30/10/2018 11:46:00 a.m.;FAC;A001306957641;207,79;0,00;0,00;0,00;0,00;0,00;207,79
30/10/2018 11:46:00 a.m.;FAC;A001306957642;1.359,96;0,00;0,00;0,00;0,00;0,00;1.359,96
30/10/2018 11:54:00 a.m.;FAC;A001306957688;15.618,14;225,72;47,40;0,00;0,00;0,00;15.891,26
30/10/2018 12:37:00 p.m.;FAC;A001306958030;0,00;1.505,48;316,15;0,00;0,00;0,00;1.821,63
30/10/2018 12:38:00 p.m.;FAC;A001306958045;0,00;832,00;174,72;0,00;0,00;0,00;1.006,72
30/10/2018 12:49:00 p.m.;FAC;A001306958097;900,51;0,00;0,00;0,00;0,00;0,00;900,51
30/10/2018 12:49:00 p.m.;FAC;A001306958098;1.818,24;0,00;0,00;0,00;0,00;0,00;1.818,24
30/10/2018 01:56:00 p.m.;FAC;A001306958397;0,00;3.163,62;664,36;0,00;0,00;0,00;3.827,98
30/10/2018 03:01:00 p.m.;FAC;A001306958530;1.992,99;0,00;0,00;0,00;0,00;0,00;1.992,99
30/10/2018 05:25:00 p.m.;FAC;A001306958837;421,46;0,00;0,00;0,00;0,00;0,00;421,46
30/10/2018 06:02:00 p.m.;FAC;A001306958949;10.804,21;158,80;33,35;0,00;0,00;0,00;10.996,36
30/10/2018 08:27:00 p.m.;FAC;A001306959838;1.906,16;0,00;0,00;0,00;0,00;0,00;1.906,16
30/10/2018 08:45:00 p.m.;FAC;A001306959999;6.868,20;819,48;172,09;0,00;0,00;0,00;7.859,77
30/10/2018 09:48:00 p.m.;FAC;A001306960600;577,03;0,00;0,00;0,00;0,00;0,00;577,03
31/10/2018 07:49:00 a.m.;FAC;A001306960958;0,01;0,00;0,00;0,00;0,00;0,00;0,01
31/10/2018 11:45:00 a.m.;FAC;A001306961695;1.175,20;0,00;0,00;0,00;0,00;0,00;1.175,20
31/10/2018 11:45:00 a.m.;FAC;A001306961696;618,84;0,00;0,00;0,00;0,00;0,00;618,84
31/10/2018 11:53:00 a.m.;FAC;A001306961745;20.318,81;448,72;94,23;0,00;0,00;0,00;20.861,76
31/10/2018 11:57:00 a.m.;FAC;A001306961779;656,02;0,00;0,00;0,00;0,00;0,00;656,02
31/10/2018 12:00:00 p.m.;FAC;A001306961805;5.742,44;0,00;0,00;0,00;0,00;0,00;5.742,44
31/10/2018 02:44:00 p.m.;FAC;A001306962621;224,85;0,00;0,00;0,00;0,00;0,00;224,85
31/10/2018 03:01:00 p.m.;FAC;A001306962642;3.501,71;383,72;80,58;0,00;0,00;0,00;3.966,01
31/10/2018 04:37:00 p.m.;NCR;A001301452050;-38.142,32;0,00;0,00;0,00;0,00;0,00;-38.142,32
31/10/2018 04:42:00 p.m.;NCR;A001301452580;-33.215,42;0,00;0,00;0,00;0,00;0,00;-33.215,42
31/10/2018 04:45:00 p.m.;NCR;A001301452766;-20.131,08;0,00;0,00;0,00;0,00;0,00;-20.131,08
31/10/2018 06:02:00 p.m.;FAC;A001306963131;4.636,24;0,00;0,00;0,00;0,00;0,00;4.636,24
31/10/2018 08:30:00 p.m.;FAC;A001306964093;121,82;0,00;0,00;0,00;0,00;0,00;121,82
31/10/2018 08:30:00 p.m.;FAC;A001306964094;472,74;0,00;0,00;0,00;0,00;0,00;472,74
31/10/2018 08:30:00 p.m.;FAC;A001306964095;155,58;0,00;0,00;0,00;0,00;0,00;155,58
31/10/2018 08:30:00 p.m.;FAC;A001306964096;72,18;0,00;0,00;0,00;0,00;0,00;72,18
31/10/2018 08:46:00 p.m.;FAC;A001306964277;9.790,52;346,51;72,77;0,00;0,00;0,00;10.209,80
31/10/2018 10:07:00 p.m.;FAC;A001306964971;278,95;0,00;0,00;0,00;0,00;0,00;278,95
31/10/2018 11:59:00 p.m.;NDE;A001300116568;0,00;0,00;0,00;0,00;6.997,27;0,00;6.997,27
01/11/2018 07:52:00 a.m.;FAC;A001306965146;0,01;0,00;0,00;0,00;0,00;0,00;0,01
01/11/2018 12:04:00 p.m.;FAC;A001306965914;29.674,96;136,32;28,63;0,00;0,00;0,00;29.839,91
01/11/2018 12:10:00 p.m.;NCR;A001301453686;-726,61;0,00;0,00;0,00;0,00;0,00;-726,61
01/11/2018 12:10:00 p.m.;NCR;A001301453687;-2.388,65;0,00;0,00;0,00;0,00;0,00;-2.388,65
01/11/2018 12:10:00 p.m.;NCR;A001301453688;-2.896,78;0,00;0,00;0,00;0,00;0,00;-2.896,78
01/11/2018 12:25:00 p.m.;FAC;A001306966053;571,64;0,00;0,00;0,00;0,00;0,00;571,64
01/11/2018 03:00:00 p.m.;FAC;A001306966642;3.215,52;227,18;47,71;0,00;0,00;0,00;3.490,41
01/11/2018 06:02:00 p.m.;FAC;A001306967093;15.208,20;411,62;86,44;0,00;0,00;0,00;15.706,26
01/11/2018 08:45:00 p.m.;FAC;A001306968059;18.679,35;0,00;0,00;0,00;0,00;0,00;18.679,35
01/11/2018 09:37:00 p.m.;FAC;A001306968494;113,66;0,00;0,00;0,00;0,00;0,00;113,66
01/11/2018 10:13:00 p.m.;FAC;A001306968785;9.696,16;383,96;80,63;0,00;0,00;0,00;10.160,75
02/11/2018 06:10:00 a.m.;NCR;A001301453864;-3.409,18;0,00;0,00;0,00;0,00;0,00;-3.409,18
