Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
02/11/2018 06:10:00 a.m.;NCR;A001301453865;-291,50;0,00;0,00;0,00;0,00;0,00;-291,50
02/11/2018 07:48:00 a.m.;FAC;A001306969003;0,01;0,00;0,00;0,00;0,00;0,00;0,01
02/11/2018 12:05:00 p.m.;FAC;A001306969932;114,02;0,00;0,00;0,00;0,00;0,00;114,02
02/11/2018 12:15:00 p.m.;FAC;A001306969982;25.685,64;689,36;144,77;0,00;0,00;0,00;26.519,77
02/11/2018 01:23:00 p.m.;FAC;A001306970378;475,47;0,00;0,00;0,00;0,00;0,00;475,47
02/11/2018 01:24:00 p.m.;FAC;A001306970383;261,61;0,00;0,00;0,00;0,00;0,00;261,61
02/11/2018 01:56:00 p.m.;FAC;A001306970552;0,00;752,74;158,08;0,00;0,00;0,00;910,82
02/11/2018 02:30:00 p.m.;FAC;A001306970707;1.610,58;0,00;0,00;0,00;0,00;0,00;1.610,58
02/11/2018 03:01:00 p.m.;FAC;A001306970746;3.975,99;408,51;85,79;0,00;0,00;0,00;4.470,29
02/11/2018 03:59:00 p.m.;NCR;A001301454187;-75,93;0,00;0,00;0,00;0,00;0,00;-75,93
02/11/2018 04:03:00 p.m.;NCR;A001301454418;-211,07;0,00;0,00;0,00;0,00;0,00;-211,07
02/11/2018 05:33:00 p.m.;FAC;A001306971036;440,25;0,00;0,00;0,00;0,00;0,00;440,25
02/11/2018 06:02:00 p.m.;FAC;A001306971145;14.222,40;159,68;33,53;0,00;0,00;0,00;14.415,61
02/11/2018 08:40:00 p.m.;FAC;A001306972225;1.797,91;0,00;0,00;0,00;0,00;0,00;1.797,91
02/11/2018 08:45:00 p.m.;FAC;A001306972262;10.532,39;702,42;147,51;0,00;0,00;0,00;11.382,32
02/11/2018 10:27:00 p.m.;FAC;A001306972949;2.950,90;105,86;22,23;0,00;0,00;0,00;3.078,99
03/11/2018 10:27:00 a.m.;FAC;A001306973534;0,00;2.428,00;509,88;0,00;0,00;0,00;2.937,88
03/11/2018 11:45:00 a.m.;FAC;A001306973765;447,72;0,00;0,00;0,00;0,00;0,00;447,72
03/11/2018 12:16:00 p.m.;FAC;A001306973918;19.100,35;1.705,31;358,12;0,00;0,00;0,00;21.163,78
03/11/2018 01:50:00 p.m.;FAC;A001306974652;6.615,46;1.930,76;405,46;0,00;0,00;0,00;8.951,68
04/11/2018 10:22:00 p.m.;FAC;A001306975068;199,95;0,00;0,00;0,00;0,00;0,00;199,95
04/11/2018 10:22:00 p.m.;FAC;A001306975069;114,02;0,00;0,00;0,00;0,00;0,00;114,02
