Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
P;BULGARI BLV-HOMME EDT C-VAP X 50 ML;;P10004179;783320881084;WWW.CORTASSA.COM.AR;231,40;1;0;0;0
P;BULGARI EXTREME COL C-VAP X 100 ML;;P10003798;783320833694;WWW.CORTASSA.COM.AR;345,86;1;0;0;0
P;BULGARI EXTREME COL C-VAP X 50 ML;;P10003713;783320833199;WWW.CORTASSA.COM.AR;251,82;1;0;0;0
P;BULGARI OMN.AMATHI EDT C-VAP X 25 ML;;P10003836;783320952074;WWW.CORTASSA.COM.AR;183,74;1;0;0;0
P;BULGARI OMN.AMATHI EDT C-VAP X 65 ML;;P10003808;783320952517;WWW.CORTASSA.COM.AR;332,03;1;0;0;0
P;BULGARI OMN.AMATHY EDT C-VAP X 40 ML;;P10004177;783320952111;WWW.CORTASSA.COM.AR;262,87;1;0;0;0
P;BULGARI OMN.CRYSTAL EDT C-VAP X 25 ML;;P10003782;783320922084;WWW.CORTASSA.COM.AR;183,74;1;0;0;0
P;BULGARI OMN.CRYSTAL EDT C-VAP X 40 ML;;P10004178;783320922121;WWW.CORTASSA.COM.AR;258,63;1;0;0;0
P;BULGARI OMN.CRYSTAL EDT C-VAP X 65 ML;;P10003738;783320922527;WWW.CORTASSA.COM.AR;326,68;1;0;0;0
P;BULGARI OMN.GREEN EDT C-VAP X 25 ML;;P10003837;783320962073;WWW.CORTASSA.COM.AR;183,74;1;0;0;0
P;BULGARI OMN.GREEN EDT C-VAP X 40 ML;;P10003747;783320962110;WWW.CORTASSA.COM.AR;258,63;1;0;0;0
P;BULGARI OMN.GREEN EDT C-VAP X 65 ML;;P10003789;783320962516;WWW.CORTASSA.COM.AR;326,68;1;0;0;0
P;BULGARI OMNIA EDP C-VAP X 25 ML;;P10003785;783320892073;WWW.CORTASSA.COM.AR;214,38;1;0;0;0
P;BULGARI OMNIA EDP C-VAP X 40 ML;;P10003741;783320892110;WWW.CORTASSA.COM.AR;316,47;1;0;0;0
P;BULGARI P-HOMME EDT C-VAP X 100 ML;;P10004181;783320831591;WWW.CORTASSA.COM.AR;340,28;1;0;0;0
P;BULGARI P-HOMME EDT C-VAP X 30 ML;;P10003711;783320831294;WWW.CORTASSA.COM.AR;172,93;1;0;0;0
P;BULGARI P-HOMME EDT C-VAP X 50 ML;;P10003797;783320831096;WWW.CORTASSA.COM.AR;251,82;1;0;0;0
P;BULGARI SOIR EDT C-VAP X 100 ML;;P10003838;783320831560;WWW.CORTASSA.COM.AR;345,86;1;0;0;0
P;BULGARI SOIR EDT C-VAP X 50 ML;;P10003730;783320831065;WWW.CORTASSA.COM.AR;255,95;1;0;0;0
P;BY SHAKIRA ( EDT X 50 ML+ DEO X 150ML );;P30000894;8411061767269;www.puigargentinasa.com;92,39;1;0;0;0
P;BY SHAKIRA ( EDT X 80ML+ DEO X 150ML );;P30000893;8411061766941;www.puigargentinasa.com;118,97;1;0;0;0
P;BY SHAKIRA EAU FLORALE ( EDT X 50ML+DEO);;P30000896;8411061767283;www.puigargentinasa.com;79,10;1;0;0;0
P;BY SHAKIRA EAU FLORALE ( EDT X 80ML+DEO);;P30000895;8411061766965;www.puigargentinasa.com;104,42;1;0;0;0
P;BY SHAKIRA EAU FLORALE EDT C-VAP X 50 ML;;P30000010;8411061722176;www.puigargentinasa.com;74,04;1;0;0;0
P;BY SHAKIRA EAU FLORALE EDT C-VAP X 80 ML;;P30000011;8411061722169;www.puigargentinasa.com;100,61;1;0;0;0
P;BY SHAKIRA EDT X 50 ML;;P10004117;8411061697290;www.puigargentinasa.com;74,09;1;0;0;0
P;BY SHAKIRA EDT X 80 ML;;P10004118;8411061697283;www.puigargentinasa.com;105,23;1;0;0;0
P;BY SHAKIRA ELIXIR ( EDT X 50+DEO X 150 );;P30001134;8411061767320;www.puigargentinasa.com;95,55;1;0;0;0
P;BY SHAKIRA ELIXIR ( EDT X 80+DEO X 150 );;P30001133;8411061767290;www.puigargentinasa.com;122,76;1;0;0;0
P;BY SHAKIRA ELIXIR EDT X 50 ML;;P30000857;8411061741696;www.puigargentinasa.com;82,89;1;0;0;0
P;BY SHAKIRA ELIXIR EDT X 80 ML;;P30000856;8411061741689;www.puigargentinasa.com;110,74;1;0;0;0
